ru,fog,packet_id,created_at_us,fronthaul_latency_us,end_to_end_latency_us
RU:2,Fog:2,82,1180.7999999999997,132.20000000000005,204.4000000000001
RU:3,Fog:3,82,1180.7999999999997,132.20000000000005,204.4000000000001
RU:0,Fog:0,83,1195.1999999999998,132.20000000000005,204.4000000000001
RU:1,Fog:1,83,1195.1999999999998,132.20000000000005,204.4000000000001
RU:2,Fog:2,83,1195.1999999999998,132.20000000000005,204.4000000000001
RU:3,Fog:3,83,1195.1999999999998,132.20000000000005,204.4000000000001
RU:0,Fog:0,84,1209.6,132.20000000000005,204.4000000000001
RU:1,Fog:1,84,1209.6,132.20000000000005,204.4000000000001
RU:2,Fog:2,84,1209.6,132.20000000000005,204.4000000000001
RU:3,Fog:3,84,1209.6,132.20000000000005,204.4000000000001
RU:0,Fog:0,85,1224.0,132.20000000000005,204.4000000000001
RU:1,Fog:1,85,1224.0,132.20000000000005,204.4000000000001
RU:2,Fog:2,85,1224.0,132.20000000000005,204.4000000000001
RU:3,Fog:3,85,1224.0,132.20000000000005,204.4000000000001
RU:0,Fog:0,86,1238.4,132.20000000000005,204.4000000000001
RU:1,Fog:1,86,1238.4,132.20000000000005,204.4000000000001
RU:2,Fog:2,86,1238.4,132.20000000000005,204.4000000000001
RU:3,Fog:3,86,1238.4,132.20000000000005,204.4000000000001
RU:0,Fog:0,87,1252.8000000000002,132.20000000000005,204.4000000000001
RU:1,Fog:1,87,1252.8000000000002,132.20000000000005,204.4000000000001
RU:2,Fog:2,87,1252.8000000000002,132.20000000000005,204.4000000000001
RU:3,Fog:3,87,1252.8000000000002,132.20000000000005,204.4000000000001
RU:0,Fog:0,88,1267.2000000000003,132.20000000000005,204.4000000000001
RU:1,Fog:1,88,1267.2000000000003,132.20000000000005,204.4000000000001
RU:2,Fog:2,88,1267.2000000000003,132.20000000000005,204.4000000000001
RU:3,Fog:3,88,1267.2000000000003,132.20000000000005,204.4000000000001
RU:0,Fog:0,89,1281.6000000000004,132.20000000000005,204.4000000000001
RU:1,Fog:1,89,1281.6000000000004,132.20000000000005,204.4000000000001
RU:2,Fog:2,89,1281.6000000000004,132.20000000000005,204.4000000000001
RU:3,Fog:3,89,1281.6000000000004,132.20000000000005,204.4000000000001
RU:0,Fog:0,90,1296.0000000000005,132.20000000000005,204.4000000000001
RU:1,Fog:1,90,1296.0000000000005,132.20000000000005,204.4000000000001
